"Species","Year","Month","under_size","over_size","target_return","target_retain","Total"
"Ballan","2021",5,54,19,6,520,599
"Ballan","2021",6,327,148,105,8152,8732
"Ballan","2021",7,431,294,132,1672,2529
"Ballan","2021",8,573,328,144,2027,3072
"Ballan","2021",9,339,187,112,1070,1708
"Ballan","2021",10,74,51,2,254,381
"Ballan","2021",11,0,1,0,23,24
"Ballan","2022",5,84,58,10,365,517
"Ballan","2022",6,195,198,84,1193,1670
"Ballan","2022",7,210,262,64,1525,2061
"Ballan","2022",8,396,418,114,2025,2953
"Ballan","2022",9,266,311,103,1352,2032
"Ballan","2022",10,96,107,54,609,866
"Ballan","2022",11,17,33,18,89,157
"Ballan","2023",5,172,87,58,533,850
"Ballan","2023",6,309,363,130,1638,2440
"Ballan","2023",7,564,592,103,2754,4013
"Ballan","2023",8,545,537,182,2533,3797
"Ballan","2023",9,366,432,131,1842,2771
"Ballan","2023",10,299,235,134,1452,2120
"Ballan","2023",11,21,20,17,148,206
"Ballan","2024",5,134,91,41,476,742
"Ballan","2024",6,272,187,40,1042,1541
"Ballan","2024",7,478,354,84,2161,3077
"Ballan","2024",8,333,291,156,2364,3144
"Ballan","2024",9,250,205,79,2036,2570
"Ballan","2024",10,55,71,42,566,734
"Ballan","2024",11,14,23,12,128,177
"Corkwing","2021",5,22,4,8,9,43
"Corkwing","2021",6,103,71,105,99,378
"Corkwing","2021",7,242,44,244,339,869
"Corkwing","2021",8,460,93,322,617,1492
"Corkwing","2021",9,352,77,203,488,1120
"Corkwing","2021",10,60,28,25,87,200
"Corkwing","2021",11,0,0,3,2,5
"Corkwing","2022",5,88,17,159,65,329
"Corkwing","2022",6,150,25,276,203,654
"Corkwing","2022",7,214,35,335,257,841
"Corkwing","2022",8,592,58,663,810,2123
"Corkwing","2022",9,409,64,535,571,1579
"Corkwing","2022",10,212,16,230,192,650
"Corkwing","2022",11,23,8,23,10,64
"Corkwing","2023",5,158,21,256,65,500
"Corkwing","2023",6,208,44,354,164,770
"Corkwing","2023",7,576,60,588,457,1681
"Corkwing","2023",8,481,149,712,790,2132
"Corkwing","2023",9,459,121,962,725,2267
"Corkwing","2023",10,402,74,601,549,1626
"Corkwing","2023",11,20,4,85,14,123
"Corkwing","2024",5,106,35,204,166,511
"Corkwing","2024",6,158,31,266,296,751
"Corkwing","2024",7,342,81,420,651,1494
"Corkwing","2024",8,405,54,743,537,1739
"Corkwing","2024",9,285,55,556,500,1396
"Corkwing","2024",10,60,1,210,73,344
"Corkwing","2024",11,13,0,32,0,45
"Cuckoo","2021",5,28,2,2,0,32
"Cuckoo","2021",6,61,40,42,5,148
"Cuckoo","2021",7,52,14,83,68,217
"Cuckoo","2021",8,101,26,103,95,325
"Cuckoo","2021",9,102,15,137,47,301
"Cuckoo","2021",10,36,3,16,14,69
"Cuckoo","2021",11,32,2,1,12,47
"Cuckoo","2022",5,17,4,31,11,63
"Cuckoo","2022",6,44,7,56,34,141
"Cuckoo","2022",7,49,0,65,35,149
"Cuckoo","2022",8,54,17,166,36,273
"Cuckoo","2022",9,56,9,127,41,233
"Cuckoo","2022",10,36,2,125,8,171
"Cuckoo","2022",11,0,1,34,1,36
"Cuckoo","2023",5,15,3,52,7,77
"Cuckoo","2023",6,64,20,91,56,231
"Cuckoo","2023",7,111,35,134,79,359
"Cuckoo","2023",8,91,25,132,90,338
"Cuckoo","2023",9,90,25,144,67,326
"Cuckoo","2023",10,37,26,109,28,200
"Cuckoo","2023",11,1,6,22,19,48
"Cuckoo","2024",5,14,4,31,9,58
"Cuckoo","2024",6,23,25,48,25,121
"Cuckoo","2024",7,55,28,48,35,166
"Cuckoo","2024",8,44,30,122,29,225
"Cuckoo","2024",9,50,20,168,43,281
"Cuckoo","2024",10,17,1,123,5,146
"Cuckoo","2024",11,0,0,40,0,40
"Goldsinny","2021",5,51,1,46,17,115
"Goldsinny","2021",6,644,221,527,345,1737
"Goldsinny","2021",7,939,96,990,526,2551
"Goldsinny","2021",8,1287,94,1093,598,3072
"Goldsinny","2021",9,747,60,623,389,1819
"Goldsinny","2021",10,211,75,97,115,498
"Goldsinny","2021",11,47,0,27,36,110
"Goldsinny","2022",5,204,0,81,90,375
"Goldsinny","2022",6,450,11,399,301,1161
"Goldsinny","2022",7,487,22,634,271,1414
"Goldsinny","2022",8,875,1,819,469,2164
"Goldsinny","2022",9,567,2,626,345,1540
"Goldsinny","2022",10,372,0,285,215,872
"Goldsinny","2022",11,11,0,45,20,76
"Goldsinny","2023",5,319,3,201,120,643
"Goldsinny","2023",6,595,43,441,509,1588
"Goldsinny","2023",7,859,41,797,605,2302
"Goldsinny","2023",8,757,50,680,646,2133
"Goldsinny","2023",9,662,37,723,541,1963
"Goldsinny","2023",10,484,11,314,382,1191
"Goldsinny","2023",11,51,0,51,63,165
"Goldsinny","2024",5,308,0,145,179,632
"Goldsinny","2024",6,468,21,249,409,1147
"Goldsinny","2024",7,705,49,494,649,1897
"Goldsinny","2024",8,544,21,830,503,1898
"Goldsinny","2024",9,526,34,919,370,1849
"Goldsinny","2024",10,101,2,568,51,722
"Goldsinny","2024",11,11,0,118,0,129
"Rock Cook","2021",5,30,0,0,16,46
"Rock Cook","2021",6,211,22,54,147,434
"Rock Cook","2021",7,364,7,143,240,754
"Rock Cook","2021",8,1099,35,262,391,1787
"Rock Cook","2021",9,609,21,169,370,1169
"Rock Cook","2021",10,137,12,4,92,245
"Rock Cook","2021",11,3,0,3,1,7
"Rock Cook","2022",5,131,1,31,36,199
"Rock Cook","2022",6,313,4,117,103,537
"Rock Cook","2022",7,561,11,183,167,922
"Rock Cook","2022",8,1019,1,422,427,1869
"Rock Cook","2022",9,562,0,299,216,1077
"Rock Cook","2022",10,502,0,161,179,842
"Rock Cook","2022",11,31,0,11,3,45
"Rock Cook","2023",5,191,0,36,30,257
"Rock Cook","2023",6,401,12,161,165,739
"Rock Cook","2023",7,562,5,238,332,1137
"Rock Cook","2023",8,619,0,260,211,1090
"Rock Cook","2023",9,792,3,263,239,1297
"Rock Cook","2023",10,797,2,191,256,1246
"Rock Cook","2023",11,31,4,31,38,104
"Rock Cook","2024",5,225,0,37,136,398
"Rock Cook","2024",6,484,6,89,251,830
"Rock Cook","2024",7,734,9,207,337,1287
"Rock Cook","2024",8,653,2,353,152,1160
"Rock Cook","2024",9,332,8,366,108,814
"Rock Cook","2024",10,80,0,123,7,210
"Rock Cook","2024",11,8,0,36,0,44
