"Year","Month","ices_rect","species_name","derogated","weight_to_publish"
2025,"5","49E9","Ballan","derogated","*"
2025,"6","42E4","Ballan","derogated","1.51755"
2025,"6","42E4","Corkwing","derogated","1.0357"
2025,"6","42E4","Goldsinny","derogated","0.20719"
2025,"6","43E2","Ballan","derogated","*"
2025,"6","43E2","Corkwing","derogated","*"
2025,"6","43E2","Goldsinny","derogated","*"
2025,"6","43E3","Ballan","derogated","1.29212"
2025,"6","43E3","Corkwing","derogated","*"
2025,"6","43E4","Ballan","derogated","*"
2025,"6","43E4","Corkwing","derogated","*"
2025,"6","43E4","Goldsinny","derogated","*"
2025,"6","44E2","Ballan","derogated","*"
2025,"6","44E2","Corkwing","derogated","*"
2025,"6","44E2","Goldsinny","derogated","*"
2025,"6","44E3","Ballan","derogated","1.6293"
2025,"6","44E3","Corkwing","derogated","*"
2025,"6","44E3","Goldsinny","derogated","*"
2025,"6","44E4","Ballan","derogated","*"
2025,"6","44E4","Corkwing","derogated","*"
2025,"6","45E3","Ballan","derogated","*"
2025,"6","45E3","Corkwing","derogated","*"
2025,"6","45E3","Goldsinny","derogated","*"
2025,"6","45E4","Ballan","derogated","*"
2025,"6","46E6","Ballan","derogated","*"
2025,"6","46E7","Ballan","derogated","*"
2025,"6","47E6","Ballan","derogated","0.26556"
2025,"6","47E7","Ballan","derogated","0.71806"
2025,"6","48E8","Ballan","derogated","*"
2025,"6","48E9","Ballan","derogated","*"
2025,"6","49E8","Ballan","derogated","1.02782"
2025,"6","49E9","Ballan","derogated","*"
2025,"7","41E4","Ballan","derogated","*"
2025,"7","41E4","Corkwing","derogated","*"
2025,"7","41E4","Goldsinny","derogated","*"
2025,"7","42E3","Ballan","derogated","*"
2025,"7","42E4","Ballan","derogated","2.2867"
2025,"7","42E4","Corkwing","derogated","1.08005"
2025,"7","42E4","Goldsinny","derogated","0.26085"
2025,"7","43E2","Ballan","derogated","1.28992"
2025,"7","43E2","Corkwing","derogated","*"
2025,"7","43E2","Goldsinny","derogated","*"
2025,"7","43E3","Ballan","derogated","1.52834"
2025,"7","43E3","Corkwing","derogated","*"
2025,"7","43E3","Goldsinny","derogated","0.01362"
2025,"7","43E4","Ballan","derogated","*"
2025,"7","43E4","Corkwing","derogated","*"
2025,"7","43E4","Goldsinny","derogated","*"
2025,"7","44E2","Ballan","derogated","*"
2025,"7","44E2","Corkwing","derogated","*"
2025,"7","44E2","Goldsinny","derogated","*"
2025,"7","44E3","Ballan","derogated","1.17478"
2025,"7","44E3","Corkwing","derogated","0.0642"
2025,"7","44E3","Goldsinny","derogated","0.0226"
2025,"7","44E4","Ballan","derogated","*"
