"Year","Month","ices_rect","species_name","derogated","weight_to_publish"
2017,"1","40E8","Wrasse","pre-derogation","*"
2017,"4","40E4","Ballan","pre-derogation","*"
2017,"5","40E4","Ballan","pre-derogation","*"
2017,"5","41E7","Wrasse","pre-derogation","*"
2017,"5","42E3","Ballan","pre-derogation","*"
2017,"5","42E3","Corkwing","pre-derogation","*"
2017,"5","42E3","Goldsinny","pre-derogation","*"
2017,"5","42E4","Ballan","pre-derogation","*"
2017,"5","42E4","Corkwing","pre-derogation","*"
2017,"5","42E4","Cuckoo","pre-derogation","*"
2017,"5","42E4","Goldsinny","pre-derogation","*"
2017,"5","43E2","Ballan","pre-derogation","*"
2017,"5","43E2","Corkwing","pre-derogation","*"
2017,"5","43E2","Cuckoo","pre-derogation","*"
2017,"5","43E2","Goldsinny","pre-derogation","*"
2017,"5","43E2","Rock cook","pre-derogation","*"
2017,"5","43E3","Ballan","pre-derogation","0.23376"
2017,"5","43E3","Corkwing","pre-derogation","*"
2017,"5","43E3","Goldsinny","pre-derogation","*"
2017,"5","44E2","Ballan","pre-derogation","*"
2017,"5","44E3","Ballan","pre-derogation","*"
2017,"5","44E4","Ballan","pre-derogation","*"
2017,"5","45E3","Ballan","pre-derogation","*"
2017,"5","45E3","Corkwing","pre-derogation","*"
2017,"5","45E3","Goldsinny","pre-derogation","*"
2017,"6","40E4","Ballan","pre-derogation","*"
2017,"6","41E3","Ballan","pre-derogation","*"
2017,"6","41E3","Corkwing","pre-derogation","*"
2017,"6","41E3","Goldsinny","pre-derogation","*"
2017,"6","41E4","Ballan","pre-derogation","*"
2017,"6","41E4","Corkwing","pre-derogation","*"
2017,"6","41E4","Goldsinny","pre-derogation","*"
2017,"6","42E3","Ballan","pre-derogation","*"
2017,"6","42E3","Corkwing","pre-derogation","*"
2017,"6","42E3","Goldsinny","pre-derogation","*"
2017,"6","42E4","Ballan","pre-derogation","*"
2017,"6","42E4","Corkwing","pre-derogation","*"
2017,"6","42E4","Cuckoo","pre-derogation","*"
2017,"6","42E4","Goldsinny","pre-derogation","*"
2017,"6","43E2","Ballan","pre-derogation","*"
2017,"6","43E2","Corkwing","pre-derogation","*"
2017,"6","43E2","Cuckoo","pre-derogation","*"
2017,"6","43E2","Goldsinny","pre-derogation","*"
2017,"6","43E2","Rock cook","pre-derogation","*"
2017,"6","43E3","Ballan","pre-derogation","1.69467"
2017,"6","43E3","Corkwing","pre-derogation","0.106295"
2017,"6","43E3","Cuckoo","pre-derogation","0.01166"
2017,"6","43E3","Goldsinny","pre-derogation","0.21191"
2017,"6","43E4","Ballan","pre-derogation","*"
2017,"6","43E4","Cuckoo","pre-derogation","*"
2017,"6","43E4","Goldsinny","pre-derogation","*"
2017,"6","44E2","Ballan","pre-derogation","*"
2017,"6","44E3","Ballan","pre-derogation","*"
2017,"6","44E3","Corkwing","pre-derogation","*"
2017,"6","44E3","Cuckoo","pre-derogation","*"
2017,"6","44E3","Goldsinny","pre-derogation","*"
2017,"6","44E3","Rock cook","pre-derogation","*"
2017,"6","44E4","Ballan","pre-derogation","0.89168"
2017,"6","45E3","Ballan","pre-derogation","*"
2017,"6","45E3","Corkwing","pre-derogation","*"
2017,"6","45E3","Goldsinny","pre-derogation","*"
2017,"6","45E4","Ballan","pre-derogation","*"
2017,"7","40E4","Ballan","pre-derogation","*"
2017,"7","41E4","Ballan","pre-derogation","*"
2017,"7","41E4","Corkwing","pre-derogation","*"
2017,"7","41E4","Goldsinny","pre-derogation","*"
2017,"7","42E2","Ballan","pre-derogation","*"
2017,"7","42E2","Corkwing","pre-derogation","*"
2017,"7","42E2","Cuckoo","pre-derogation","*"
2017,"7","42E2","Goldsinny","pre-derogation","*"
2017,"7","42E2","Rock cook","pre-derogation","*"
2017,"7","42E4","Ballan","pre-derogation","*"
2017,"7","42E4","Corkwing","pre-derogation","*"
2017,"7","42E4","Cuckoo","pre-derogation","*"
2017,"7","42E4","Goldsinny","pre-derogation","*"
2017,"7","43E2","Ballan","pre-derogation","*"
2017,"7","43E2","Corkwing","pre-derogation","*"
2017,"7","43E2","Cuckoo","pre-derogation","*"
2017,"7","43E2","Goldsinny","pre-derogation","*"
2017,"7","43E2","Rock cook","pre-derogation","*"
2017,"7","43E3","Ballan","pre-derogation","0.861"
2017,"7","43E3","Corkwing","pre-derogation","0.10629"
2017,"7","43E3","Cuckoo","pre-derogation","0.04497"
2017,"7","43E3","Goldsinny","pre-derogation","0.36545"
2017,"7","43E4","Ballan","pre-derogation","1.35645"
2017,"7","43E4","Corkwing","pre-derogation","*"
2017,"7","43E4","Cuckoo","pre-derogation","0.02227"
2017,"7","43E4","Goldsinny","pre-derogation","0.15082"
2017,"7","44E2","Ballan","pre-derogation","*"
2017,"7","44E2","Goldsinny","pre-derogation","*"
2017,"7","44E3","Ballan","pre-derogation","*"
2017,"7","44E3","Corkwing","pre-derogation","*"
2017,"7","44E3","Cuckoo","pre-derogation","*"
2017,"7","44E3","Goldsinny","pre-derogation","*"
