"Year","Month","ICES.RECT","SPECIES","no_to_publish"
2025,"6","42E4","Ballan","15678"
2025,"6","42E4","Corkwing","17387"
2025,"6","42E4","Goldsinny","5351"
2025,"6","43E2","Ballan","*"
2025,"6","43E2","Corkwing","*"
2025,"6","43E2","Goldsinny","*"
2025,"6","43E3","Ballan","14512"
2025,"6","43E3","Corkwing","811"
2025,"6","43E3","Goldsinny","*"
2025,"6","43E4","Ballan","*"
2025,"6","43E4","Corkwing","*"
2025,"6","43E4","Goldsinny","*"
2025,"6","44E2","Ballan","*"
2025,"6","44E2","Corkwing","*"
2025,"6","44E2","Goldsinny","*"
2025,"6","44E3","Ballan","*"
2025,"6","44E3","Corkwing","*"
2025,"6","44E3","Goldsinny","*"
2025,"6","44E4","Ballan","*"
2025,"6","44E4","Corkwing","*"
2025,"6","44E4","Goldsinny","*"
2025,"6","45E3","Ballan","*"
2025,"6","45E3","Corkwing","*"
2025,"6","45E3","Goldsinny","*"
2025,"6","45E4","Ballan","*"
2025,"6","46E6","Ballan","*"
2025,"6","46E7","Ballan","*"
2025,"6","47E5","Ballan","*"
2025,"6","47E6","Ballan","*"
2025,"6","47E7","Ballan","8147"
2025,"6","48E8","Ballan","*"
2025,"6","48E9","Ballan","*"
2025,"6","49E8","Ballan","11451"
2025,"6","49E9","Ballan","*"
2025,"7","41E4","Ballan","*"
2025,"7","41E4","Corkwing","*"
2025,"7","41E4","Goldsinny","*"
2025,"7","42E3","Ballan","*"
2025,"7","42E4","Ballan","27943"
2025,"7","42E4","Corkwing","25725"
2025,"7","42E4","Goldsinny","8819"
2025,"7","43E2","Ballan","14209"
2025,"7","43E2","Corkwing","*"
2025,"7","43E2","Goldsinny","*"
2025,"7","43E3","Ballan","14880"
2025,"7","43E3","Corkwing","*"
2025,"7","43E3","Goldsinny","426"
2025,"7","43E4","Ballan","*"
2025,"7","43E4","Corkwing","*"
2025,"7","43E4","Goldsinny","*"
2025,"7","44E3","Ballan","*"
2025,"7","44E4","Ballan","*"
2025,"7","44E4","Corkwing","*"
2025,"7","44E4","Goldsinny","*"
2025,"7","45E3","Ballan","*"
2025,"7","45E3","Corkwing","*"
2025,"7","45E3","Goldsinny","*"
2025,"7","45E4","Ballan","*"
2025,"7","46E6","Ballan","*"
2025,"7","46E7","Ballan","*"
2025,"7","47E5","Ballan","*"
2025,"7","47E6","Ballan","*"
2025,"7","47E7","Ballan","14814"
2025,"7","48E8","Ballan","11550"
2025,"7","48E9","Ballan","*"
2025,"7","49E8","Ballan","24890"
2025,"7","49E9","Ballan","*"
2025,"8","41E4","Ballan","*"
2025,"8","41E4","Corkwing","*"
2025,"8","41E4","Goldsinny","*"
2025,"8","42E3","Ballan","*"
2025,"8","42E4","Ballan","25896"
2025,"8","42E4","Corkwing","*"
2025,"8","42E4","Goldsinny","*"
2025,"8","43E2","Ballan","14626"
2025,"8","43E2","Corkwing","*"
2025,"8","43E3","Ballan","23320"
2025,"8","43E3","Corkwing","2819"
2025,"8","43E3","Goldsinny","833"
2025,"8","43E4","Ballan","*"
2025,"8","43E4","Corkwing","*"
2025,"8","43E4","Goldsinny","*"
2025,"8","44E3","Ballan","*"
2025,"8","44E3","Corkwing","*"
2025,"8","44E3","Goldsinny","*"
2025,"8","44E4","Ballan","*"
2025,"8","44E4","Corkwing","*"
2025,"8","45E3","Ballan","*"
2025,"8","45E3","Corkwing","*"
2025,"8","45E3","Goldsinny","*"
2025,"8","45E4","Ballan","*"
2025,"8","45E5","Ballan","*"
2025,"8","45E5","Corkwing","*"
2025,"8","45E5","Goldsinny","*"
2025,"8","46E6","Ballan","*"
2025,"8","46E7","Ballan","*"
2025,"8","47E6","Ballan","*"
2025,"8","47E7","Ballan","11797"
2025,"8","48E8","Ballan","*"
2025,"8","48E9","Ballan","*"
2025,"8","49E8","Ballan","7326"
2025,"8","49E9","Ballan","*"
2025,"9","41E4","Ballan","*"
2025,"9","41E4","Corkwing","*"
2025,"9","41E4","Goldsinny","*"
2025,"9","42E4","Ballan","16889"
2025,"9","42E4","Corkwing","*"
2025,"9","42E4","Goldsinny","*"
2025,"9","43E2","Ballan","*"
2025,"9","43E2","Corkwing","4700"
2025,"9","43E2","Goldsinny","*"
2025,"9","43E3","Ballan","12491"
2025,"9","43E3","Corkwing","839"
2025,"9","43E3","Goldsinny","260"
2025,"9","43E4","Ballan","*"
2025,"9","44E2","Ballan","*"
2025,"9","44E3","Ballan","*"
2025,"9","44E3","Corkwing","*"
2025,"9","44E3","Goldsinny","*"
2025,"9","45E3","Ballan","*"
2025,"9","45E3","Corkwing","*"
2025,"9","45E3","Goldsinny","*"
2025,"9","45E4","Ballan","*"
2025,"9","46E6","Ballan","*"
2025,"9","46E7","Ballan","*"
2025,"9","47E6","Ballan","5944"
2025,"9","47E7","Ballan","7920"
2025,"9","48E8","Ballan","*"
2025,"9","49E8","Ballan","*"
2025,"10","43E2","Ballan","*"
2025,"10","43E2","Corkwing","*"
2025,"10","43E2","Goldsinny","*"
2025,"10","44E3","Ballan","*"
2025,"10","44E3","Corkwing","*"
2025,"10","44E3","Goldsinny","*"
2025,"10","48E8","Ballan","*"
2025,"10","49E8","Ballan","*"
