"Year","Month","ICES.RECT","SPECIES","no_to_publish"
2021,"5","43E3","Ballan","*"
2021,"5","44E3","Ballan","*"
2021,"5","44E3","Corkwing","*"
2021,"5","44E3","Goldsinny","*"
2021,"5","44E3","Rock Cook","*"
2021,"6","40E4","Ballan","*"
2021,"6","40E4","Corkwing","*"
2021,"6","40E4","Cuckoo","*"
2021,"6","40E4","Goldsinny","*"
2021,"6","42E4","Ballan","*"
2021,"6","42E4","Corkwing","*"
2021,"6","42E4","Cuckoo","*"
2021,"6","42E4","Goldsinny","*"
2021,"6","42E4","Rock Cook","*"
2021,"6","43E3","Ballan","7495"
2021,"6","43E3","Corkwing","*"
2021,"6","43E3","Cuckoo","*"
2021,"6","43E3","Goldsinny","1306"
2021,"6","43E3","Rock Cook","*"
2021,"6","44E3","Ballan","19602"
2021,"6","44E3","Corkwing","*"
2021,"6","44E3","Goldsinny","*"
2021,"6","44E3","Rock Cook","*"
2021,"6","44E4","Ballan","*"
2021,"6","45E3","Ballan","*"
2021,"6","46E6","Ballan","8612"
2021,"6","47E6","Ballan","5320"
2021,"6","47E7","Ballan","6841"
2021,"7","40E4","Ballan","*"
2021,"7","40E4","Corkwing","*"
2021,"7","40E4","Cuckoo","*"
2021,"7","40E4","Goldsinny","*"
2021,"7","40E4","Rock Cook","*"
2021,"7","42E4","Ballan","13703"
2021,"7","42E4","Corkwing","8262"
2021,"7","42E4","Cuckoo","343"
2021,"7","42E4","Goldsinny","3661"
2021,"7","42E4","Rock Cook","2621"
2021,"7","43E2","Ballan","*"
2021,"7","43E2","Wrasse","*"
2021,"7","43E3","Ballan","11316"
2021,"7","43E3","Corkwing","*"
2021,"7","43E3","Cuckoo","*"
2021,"7","43E3","Goldsinny","1448"
2021,"7","43E3","Rock Cook","*"
2021,"7","43E4","Ballan","*"
2021,"7","44E2","Ballan","5844"
2021,"7","44E2","Corkwing","*"
2021,"7","44E2","Cuckoo","*"
2021,"7","44E2","Goldsinny","*"
2021,"7","44E2","Rock Cook","*"
2021,"7","44E3","Ballan","18355"
2021,"7","44E3","Corkwing","*"
2021,"7","44E3","Goldsinny","*"
